"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","N5","S","R","I","FS","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"MG203","MonumentoGaribaldi","1",0.304574740520432,0.275258921412254,3.20152456986199,1.97459236427305,1.96480918359624,25.4,2.01,0.0558,0.358,0.01,67.21,3.5,8.13000000000001,57.45
"MG204","MonumentoGaribaldi","1",0.342303098354525,0.280169840486224,3.20887242716284,2.10519565565272,2.01563020301942,26.2,1.97,0.0829,0.412,0.00425,68.6,2.22999999999999,6.62,57.2
"MG205","MonumentoGaribaldi","1",0.446358332679086,0.301745662888712,3.25295423453562,2.32884760227616,1.95628899063752,22.1,1.74,0.132,0.403,0.0031,67.58,1.98999999999999,6.89,55.88
"MG206","MonumentoGaribaldi","1",0.442208088793905,0.290539368068402,3.25548572116069,2.27259943094324,1.97496568060988,21.2,1.67,0.124,0.393,0.00337,67.08,1.97,7.44,54.78
"MG207","MonumentoGaribaldi","1",0.469293979228261,0.299446091257615,3.2623499194898,2.37559336205248,1.96559535128214,21.2,1.66,0.143,0.413,0.00345,67.04,1.98999999999999,6.97999999999999,55.04
"MG208","MonumentoGaribaldi","1",0.448513580980623,0.295083666536714,3.25437852928924,2.32027306599251,1.96647218867915,21.5,1.7,0.13,0.418,0.0036,66.91,1.94,7.22,55.25
"MG209","MonumentoGaribaldi","1",0.185186708992474,0.270306822731301,3.11421087154887,2.01377421892602,1.85272203006867,38.9,2.63,0.0465,0.283,0.00631,72.51,3.03,10.38,63.03
"MG210","MonumentoGaribaldi","1",-0.00173146138531918,0.0825904556302078,2.76863519487618,2.4366760408679,2.56037390325356,62.9,4.35,0.062,0.415,0.0174,79.67,7.03,3.55,71.88
"MG211","MonumentoGaribaldi","1",0.219813217949345,0.287201862290899,3.15689506632963,1.97339924027734,1.81438432843367,35.1,2.39,0.0471,0.254,0.00687,71.59,2.23999999999999,10.48,61.44
"MG212","MonumentoGaribaldi","1",0.223768737259106,0.30543184918302,3.1879958745749,1.93341320877184,1.74460924040767,34.7,2.24,0.0497,0.271,0.00483,71.22,2.94,11.16,60.73
"MG213","MonumentoGaribaldi","1",0.123869324662887,0.121428109609581,2.85790600149319,2.39452124281276,2.41806093824603,48.3,3.86,0.0622,0.452,0.00959,75.99,5.04000000000001,5.15000000000001,68.77
"MG214","MonumentoGaribaldi","1",0.192972815554577,0.191210976429962,2.99764982770499,2.19625550006112,2.15450116146718,38.1,3.14,0.0456,0.36,0.0079,72.24,2.40000000000001,7.80000000000001,64.75
"MG215","MonumentoGaribaldi","1",0.273843020368145,0.221440838434612,3.19210641249088,1.82749495195009,2.00819803618289,24.5,1.84,0.0418,0.364,0.0146,64.22,7.73,11.56,53.78
"MG216","MonumentoGaribaldi","1",0.280966589203842,0.252156160204323,3.18671566349392,1.93083743681387,1.89954538081586,27.5,2.01,0.0501,0.298,0.00702,67.85,3.17999999999999,11.78,56.5
"MG217","MonumentoGaribaldi","1",0.285662781285901,0.245188101942802,3.18250681642089,1.94514685654985,1.92755241432357,26.9,2.01,0.0473,0.288,0.00667,67.28,2.26000000000001,11.6,56.23
"MG218","MonumentoGaribaldi","1",0.270507150562346,0.268615483311938,3.19982052725243,1.90127106140395,1.86825451463167,27.9,1.99,0.0431,0.266,0.0089,67.7,2.53,11.27,56.98
